,World Port Index Number,Region Name,Main Port Name,Country Code,World Water Body,Sailing Direction or Publication,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Harbor Size,Harbor Type,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Good Holding Ground,Communications - Telephone,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Medical Facilities,Garbage Disposal,Dirty Ballast Disposal,Cranes - Mobile,Lifts - 0-24 Tons,Services - Longshoremen,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Latitude,Longitude
10,56630.0,Caroline Islands -- 56560,Colonia,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,1.0,23.2,23.2,7.9,0.0,Very Small,Coastal (Natural),Good,No,No,No,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,XI,Unknown,Yes,Yes,Yes,No,No,No,Yes,Unknown,Yes,Yes,Unknown,Limited,9.516667,138.133333
11,56600.0,Caroline Islands -- 56560,Moen,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,1.0,7.9,0.0,7.9,7.9,Very Small,Open Roadstead,Good,No,No,No,Yes,No,Yes,Yes,Yes,Unknown,Yes,Unknown,XI,Yes,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Emergency Only,7.433333,151.833333
12,56570.0,Caroline Islands -- 56560,Lele Harbor,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,1.0,14.0,12.5,7.9,7.9,Very Small,Coastal (Natural),Fair,No,Yes,No,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,XI,Unknown,Yes,Yes,No,No,Unknown,Unknown,No,Yes,Yes,Yes,Yes,Emergency Only,5.333333,163.033333
13,44804.0,Turkey Asia -- 44360,Delta Terminal,Turkey,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,0.0,23.2,0.0,6.4,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,III,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Moderate,36.85,36.166667
14,50350.0,Indonesia -- 50020,Cinta Oil Terminal,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,0.0,23.2,23.2,0.0,23.2,Very Small,Open Roadstead,Poor,No,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,XI,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,No,No,No,No,Emergency Only,-5.5,106.233333
15,4000.0,Canada Lake Huron -- 3640,Port Severn,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,1.8,1.8,1.8,0.0,Very Small,River (Natural),Excellent,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Limited,44.8,-79.716667
16,38330.0,Gibraltar -- 38320,Europa Point,Gibraltar,Strait of Gibraltar; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,12.5,18.6,7.9,9.4,Medium,Coastal (Breakwater),Good,No,Yes,No,Yes,No,Yes,Yes,Yes,Unknown,Yes,Yes,III,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,36.133333,-5.35
17,56945.0,Papua New Guinea -- 56695,Queen Carola Harbor,Papua New Guinea,Solomon Sea; South Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,2.0,17.1,11.0,1.8,0.0,Very Small,Coastal (Natural),Good,No,No,No,Yes,Unknown,Yes,No,Yes,Unknown,Yes,Unknown,X,Yes,Yes,Yes,Unknown,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,Limited,-5.166667,154.55
18,7010.0,United States E Coast -- 6585,New Harbor,United States,North Atlantic Ocean,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,2.7,6.4,6.4,1.8,0.0,Very Small,Coastal (Natural),Fair,Yes,No,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Limited,43.866667,-69.483333
19,5980.0,Cape Breton Island -- 5860,Little Bras D Or,Canada,North Atlantic Ocean,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,3.0,3.4,6.4,3.4,0.0,Very Small,Coastal (Natural),Excellent,No,No,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,46.25,-60.3
20,53020.0,New Guinea West Coast - Irian Jaya -- 52900,Tg. Sorong,Indonesia,South Pacific Ocean,Sailing Directions Pub. 164 (Enroute) - New Guinea,1.0,18.6,23.2,11.0,9.4,Small,Open Roadstead,Fair,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,XI,Yes,Unknown,Yes,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Limited,-0.883333,131.233333
21,4950.0,US Lake Michigan -- 4570,Depere,United States,Lake Michigan; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,6.4,6.4,4.9,0.0,Very Small,River (Natural),Good,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,44.45,-88.066667
22,4630.0,US Lake Michigan -- 4570,Leland,United States,Lake Michigan; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,3.4,1.8,1.8,0.0,Very Small,Coastal (Breakwater),Fair,No,No,Yes,Yes,Yes,No,Yes,No,No,Unknown,Unknown,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,45.016667,-85.766667
23,20940.0,Norway -- 20620,Bredvik,Norway,Norwegian Sea; North Atlantic Ocean,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,0.0,0.0,6.4,4.9,0.0,Very Small,Coastal (Natural),Good,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,XIX,Yes,Yes,Unknown,Unknown,No,No,Yes,Unknown,Yes,Yes,Unknown,Yes,,70.583333,22.133333
24,19880.0,Alaska -- 19080,Lazy Bay,United States,North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,2.7,23.2,15.5,7.9,0.0,Very Small,Coastal (Natural),Poor,No,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,XII,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,No,Yes,Yes,No,Yes,Limited,56.9,-154.25
25,12900.0,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal,Brazil,South Atlantic Ocean,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,1.0,11.0,14.0,0.0,7.9,Medium,Open Roadstead,Fair,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,V,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Major,-22.816667,-43.15
26,48104.0,Saudi Arabia -- 48100,Sharmah,Saudi Arabia,Red Sea; Indian Ocean,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,0.0,23.2,0.0,0.0,0.0,Very Small,Coastal (Natural),Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IX,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27.933333,35.25
27,9210.0,US Gulf Coast -- 8650,Norsworthy,United States,Gulf of Mexico; North Atlantic Ocean,U.S. Coast Pilot 5 - Gulf of Mexico Puerto Rico and Virgin Islands,0.3,11.0,9.4,9.4,0.0,Very Small,River (Natural),Good,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,29.733333,-95.2
28,8400.0,United States E Coast -- 6585,Bayboro,United States,North Atlantic Ocean,U.S. Coast Pilot 4 - Atlantic Coast: Cape Henry VA to Key West FL,0.0,3.4,1.8,1.8,1.8,Very Small,River (Natural),Good,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,35.15,-76.766667
29,4240.0,Canada Lake Huron -- 3640,Hilton,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,3.4,9.4,3.4,0.0,Very Small,Coastal (Natural),Good,No,No,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,46.25,-83.883333
30,4160.0,Canada Lake Huron -- 3640,Kagawong,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,6.4,11.0,4.9,0.0,Very Small,Coastal (Natural),Excellent,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,45.916667,-82.25
31,3130.0,US Lake Ontario -- 3120,Chaumont,United States,Lake Ontario; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,7.9,4.9,1.8,0.0,Very Small,Coastal (Natural),Excellent,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,44.066667,-76.133333
32,20000.0,Alaska -- 19080,Kanatak,United States,North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,3.0,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Poor,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,XII,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,57.566667,-156.033333
33,5520.0,South Side -- 5501,Douglastown,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,0.0,1.8,18.6,6.4,0.0,Very Small,Open Roadstead,Fair,No,No,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,IV,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48.766667,-64.383333
34,28615.0,Latvia -- 28600,Lielupe,Latvia,Gulf of Riga; Baltic Sea; North Atlantic Ocean,Sailing Directions Pub. 194 (Enroute) - Baltic Sea (Southern Part),0.0,1.8,23.2,3.4,0.0,Very Small,River (Natural),Fair,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,I,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,57.0,23.433333
35,19630.0,Alaska -- 19080,Katalla,United States,Gulf of Alaska; North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,2.4,0.0,11.0,0.0,0.0,Very Small,Open Roadstead,Fair,No,No,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,XII,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60.2,-144.533333
36,6750.0,United States E Coast -- 6585,Minturn,United States,North Atlantic Ocean,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,3.0,1.8,9.4,0.0,0.0,Very Small,Coastal (Natural),Good,Yes,No,No,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,44.15,-68.45
37,6820.0,United States E Coast -- 6585,Criehaven,United States,North Atlantic Ocean,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,2.7,1.8,1.8,1.8,0.0,Very Small,Coastal (Breakwater),Poor,No,No,No,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,43.833333,-68.883333
38,29800.0,Aero -- 29780,Aeroskobing,Denmark,Baltic Sea; North Atlantic Ocean,Sailing Directions Pub. 194 (Enroute) - Baltic Sea (Southern Part),0.0,3.4,6.4,4.9,0.0,Very Small,Coastal (Breakwater),Good,Yes,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,I,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,54.883333,10.416667
39,43950.0,Ukraine -- 43620,Kyrylivka,Ukraine,Sea of Azov; Black Sea; North Atlantic Ocean,Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office),0.0,4.9,4.9,1.8,0.0,Very Small,Open Roadstead,Fair,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,III,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.35,35.366667
40,46691.0,Ascension -- 46660,North Point,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,0.0,0.0,3.4,0.0,11.0,Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,VII,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-7.883333,-14.366667
41,57433.0,Thailand -- 57431,Bongkot Terminal,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,0.0,23.2,23.2,0.0,23.2,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,XI,Unknown,Yes,No,No,No,Unknown,Unknown,Unknown,No,No,No,No,,8.05,102.333333
42,52350.0,Sulawesi -- 51970,Donggala,Indonesia,Makassar Strait; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,4.0,23.2,23.2,1.8,1.8,Very Small,Open Roadstead,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,XI,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,Emergency Only,-0.65,119.733333
43,3790.0,Canada Lake Huron -- 3640,Lions Head,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,3.4,3.4,3.4,0.0,Very Small,Coastal (Breakwater),Good,No,No,Yes,Yes,Yes,No,Unknown,Unknown,No,No,Unknown,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,,44.983333,-81.25
44,4150.0,Canada Lake Huron -- 3640,Honora,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,6.4,7.9,1.8,0.0,Very Small,Coastal (Natural),Excellent,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45.866667,-82.166667
45,23300.0,Norway -- 20620,Meling,Norway,North Sea; North Atlantic Ocean,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,0.0,0.0,12.5,1.8,0.0,Very Small,Coastal (Natural),Good,No,Yes,No,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,I,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,59.783333,5.116667
46,23107.0,Norway -- 20620,Bud,Norway,Norwegian Sea; North Atlantic Ocean,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,0.0,0.0,4.9,4.9,0.0,Very Small,Coastal (Breakwater),Fair,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,I,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,62.9,6.916667
47,23455.0,Norway -- 20620,Espevaer,Norway,North Sea; North Atlantic Ocean,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,0.0,0.0,12.5,6.4,0.0,Very Small,Coastal (Natural),Good,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,I,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,59.583333,5.15
48,19970.0,Alaska -- 19080,Bear Island,United States,Gulf of Alaska; North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,3.4,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Fair,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,XII,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,58.45,-152.683333
49,20270.0,Alaska Continued -- 20185,Koggiung,United States,Bristol Bay; Bering Sea; North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,4.3,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Fair,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,XII,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Limited,58.966667,-156.916667
50,20350.0,Alaska Continued -- 20185,Hamilton,United States,Bering Sea; North Pacific Ocean,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,0.6,0.0,0.0,0.0,0.0,Very Small,River (Natural),Fair,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,XII,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,62.9,-163.916667
51,5150.0,Canada Lake Superior -- 5120,Gargantua,Canada,Lake Superior; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,0.0,3.4,12.5,1.8,0.0,Very Small,Coastal (Natural),Good,No,No,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,47.566667,-84.966667
52,42415.0,Greece East Coast -- 42010,Larimna,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,2.0,11.0,9.4,11.0,0.0,Very Small,Coastal (Natural),Good,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,III,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,38.566667,23.283333
53,31895.0,Scotland East Coast -- 31870,Bird Port,United Kingdom,Bristol Channel; North Atlantic Ocean,Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,6.0,1.8,4.9,9.4,0.0,Very Small,River (Natural),Poor,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,I,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,51.566667,-2.966667
54,38420.0,Spain SE Coast -- 38340,Hornillo,Spain,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,14.0,23.2,4.9,0.0,Very Small,Coastal (Natural),Fair,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,III,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,37.4,-1.55
55,40245.0,Italy -- 39125,Melilli Oil Terminal,Italy,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,21.6,23.2,0.0,17.1,Very Small,Open Roadstead,Fair,No,No,No,Yes,No,Yes,Unknown,Yes,Yes,Yes,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,37.116667,15.25
